case,component,rackx,racky,rackw,rackh,order,mandatory_new
breaker_bottom_1800_2_No_4,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_1800_2_No_4,kit_mouldedcasecircuitbreaker_n185,1,4,2,5,1,1
breaker_bottom_1800_2_No_5,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_1800_2_No_5,kit_mouldedcasecircuitbreaker_n185,1,5,2,5,1,1
breaker_bottom_1800_2_Yes_4,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_1800_2_Yes_4,kit_mouldedcasecircuitbreaker_n185,1,4,2,5,1,1
breaker_bottom_1800_2_Yes_4,kit_npebusbarsystem_n185,1,10(9-10),2,4(3-4),2,1
breaker_bottom_1800_2_Yes_5,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_1800_2_Yes_5,kit_mouldedcasecircuitbreaker_n185,1,5,2,5,1,1
breaker_bottom_1800_2_Yes_5,kit_npebusbarsystem_n185,1,10(9-10),2,4(3-4),2,1
breaker_top_1800_2_No_4,kit_mouldedcasecircuitbreaker_n185,1,4,2,5,1,1
breaker_top_1800_2_No_4,kit_npebusbarsystem_n185,1,9(9-10),2,4(3-4),2,1
breaker_top_1800_2_No_5,kit_mouldedcasecircuitbreaker_n185,1,5,2,5,1,1
breaker_top_1800_2_No_5,kit_npebusbarsystem_n185,1,9(9-10),2,4(3-4),2,1
breaker_top_1800_2_Yes_4,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
breaker_top_1800_2_Yes_4,kit_mouldedcasecircuitbreaker_n185,1,4,2,5,1,1
breaker_top_1800_2_Yes_4,kit_npebusbarsystem_n185,1,9(9-10),2,3(3-4),2,1
breaker_top_1800_2_Yes_5,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
breaker_top_1800_2_Yes_5,kit_mouldedcasecircuitbreaker_n185,1,5,2,5,1,1
breaker_top_1800_2_Yes_5,kit_npebusbarsystem_n185,1,9(9-10),2,3(3-4),2,1
breaker_bottom_2100_2_No_4,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_2100_2_No_4,kit_mouldedcasecircuitbreaker_n185,1,4,2,5,1,1
breaker_bottom_2100_2_No_5,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_2100_2_No_5,kit_mouldedcasecircuitbreaker_n185,1,5,2,5,1,1
breaker_bottom_2100_2_No_6,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_2100_2_No_6,kit_mouldedcasecircuitbreaker_n185,1,6,2,5,1,1
breaker_bottom_2100_2_No_7,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_2100_2_No_7,kit_mouldedcasecircuitbreaker_n185,1,7,2,5,1,1
breaker_bottom_2100_2_Yes_4,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_2100_2_Yes_4,kit_mouldedcasecircuitbreaker_n185,1,4,2,5,1,1
breaker_bottom_2100_2_Yes_4,kit_npebusbarsystem_n185,1,12(11-12),2,3(3-4),2,1
breaker_bottom_2100_2_Yes_5,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_2100_2_Yes_5,kit_mouldedcasecircuitbreaker_n185,1,5,2,5,1,1
breaker_bottom_2100_2_Yes_5,kit_npebusbarsystem_n185,1,12(11-12),2,3(3-4),2,1
breaker_bottom_2100_2_Yes_6,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_2100_2_Yes_6,kit_mouldedcasecircuitbreaker_n185,1,6,2,5,1,1
breaker_bottom_2100_2_Yes_6,kit_npebusbarsystem_n185,1,12(11-12),2,3(3-4),2,1
breaker_bottom_2100_2_Yes_7,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_2100_2_Yes_7,kit_mouldedcasecircuitbreaker_n185,1,7,2,5,1,1
breaker_bottom_2100_2_Yes_7,kit_npebusbarsystem_n185,1,12(11-12),2,3(3-4),2,1
breaker_top_2100_2_No_4,kit_mouldedcasecircuitbreaker_n185,1,4,2,5,1,1
breaker_top_2100_2_No_4,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
breaker_top_2100_2_No_5,kit_mouldedcasecircuitbreaker_n185,1,5,2,5,1,1
breaker_top_2100_2_No_5,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
breaker_top_2100_2_No_6,kit_mouldedcasecircuitbreaker_n185,1,6,2,5,1,1
breaker_top_2100_2_No_6,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
breaker_top_2100_2_No_7,kit_mouldedcasecircuitbreaker_n185,1,7,2,5,1,1
breaker_top_2100_2_No_7,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
breaker_top_2100_2_Yes_4,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
breaker_top_2100_2_Yes_4,kit_mouldedcasecircuitbreaker_n185,1,4,2,5,1,1
breaker_top_2100_2_Yes_4,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
breaker_top_2100_2_Yes_5,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
breaker_top_2100_2_Yes_5,kit_mouldedcasecircuitbreaker_n185,1,5,2,5,1,1
breaker_top_2100_2_Yes_5,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
breaker_top_2100_2_Yes_6,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
breaker_top_2100_2_Yes_6,kit_mouldedcasecircuitbreaker_n185,1,6,2,5,1,1
breaker_top_2100_2_Yes_6,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
breaker_top_2100_2_Yes_7,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
breaker_top_2100_2_Yes_7,kit_mouldedcasecircuitbreaker_n185,1,7,2,5,1,1
breaker_top_2100_2_Yes_7,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
breaker_bottom_1800_3_No_4,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_1800_3_No_4,kit_mouldedcasecircuitbreaker_n185,1,4,3,5,1,1
breaker_bottom_1800_3_No_5,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_1800_3_No_5,kit_mouldedcasecircuitbreaker_n185,1,5,3,5,1,1
breaker_bottom_1800_3_Yes_4,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_1800_3_Yes_4,kit_mouldedcasecircuitbreaker_n185,1,4,3,5,1,1
breaker_bottom_1800_3_Yes_4,kit_npebusbarsystem_n185,1,10(9-10),3,4(3-4),2,1
breaker_bottom_1800_3_Yes_5,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_1800_3_Yes_5,kit_mouldedcasecircuitbreaker_n185,1,5,3,5,1,1
breaker_bottom_1800_3_Yes_5,kit_npebusbarsystem_n185,1,10(9-10),3,4(3-4),2,1
breaker_top_1800_3_No_4,kit_mouldedcasecircuitbreaker_n185,1,4,3,5,1,1
breaker_top_1800_3_No_4,kit_npebusbarsystem_n185,1,9(9-10),3,4(3-4),2,1
breaker_top_1800_3_No_5,kit_mouldedcasecircuitbreaker_n185,1,5,3,5,1,1
breaker_top_1800_3_No_5,kit_npebusbarsystem_n185,1,9(9-10),3,4(3-4),2,1
breaker_top_1800_3_Yes_4,kit_npebusbarsystem_n185,1,1,3,3(3-4),2,1
breaker_top_1800_3_Yes_4,kit_mouldedcasecircuitbreaker_n185,1,4,3,5,1,1
breaker_top_1800_3_Yes_4,kit_npebusbarsystem_n185,1,9(9-10),3,3(3-4),2,1
breaker_top_1800_3_Yes_5,kit_npebusbarsystem_n185,1,1,3,3(3-4),2,1
breaker_top_1800_3_Yes_5,kit_mouldedcasecircuitbreaker_n185,1,5,3,5,1,1
breaker_top_1800_3_Yes_5,kit_npebusbarsystem_n185,1,9(9-10),3,3(3-4),2,1
breaker_bottom_2100_3_No_4,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_2100_3_No_4,kit_mouldedcasecircuitbreaker_n185,1,4,3,5,1,1
breaker_bottom_2100_3_No_5,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_2100_3_No_5,kit_mouldedcasecircuitbreaker_n185,1,5,3,5,1,1
breaker_bottom_2100_3_No_6,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_2100_3_No_6,kit_mouldedcasecircuitbreaker_n185,1,6,3,5,1,1
breaker_bottom_2100_3_No_7,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
